Taxa,Classification
Lepidium meyenii,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Leucaena leucocephala,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Linum usitatissimum,"Oils and fats; Frozen, preserved or processed fruit and fruit-based products"
Litchi chinensis,Fruit
Lobularia maritima,Food products n.e.c. (Class)
Lodoicea maldivica,Fruit
Lucuma campechiana,Fruit
Luffa acutangula,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Luffa acutangula var. amara,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Luffa acutangula var. forskalii,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Luffa aegyptiaca,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Lupinus albus,"Frozen, preserved or processed vegetables and vegetable-based products"
Lupinus albus subsp. graecus,"Frozen, preserved or processed vegetables and vegetable-based products"
Lupinus angustifolius,"Frozen, preserved or processed vegetables and vegetable-based products"
Lupinus angustifolius subsp. angustifolius,"Frozen, preserved or processed vegetables and vegetable-based products"
Lupinus angustifolius subsp. reticulatus,"Frozen, preserved or processed vegetables and vegetable-based products"
Lupinus mutabilis,"Frozen, preserved or processed vegetables and vegetable-based products"
Lycium barbarum,Fruit
Lycium barbarum var. auranticarpum,Fruit
Lycium chinense,Fruit
Macadamia integrifolia,"Frozen, preserved or processed fruit and fruit-based products"
Maclura pomifera,"Frozen, preserved or processed fruit and fruit-based products"
Magnolia denudata,Food products n.e.c. (Class)
Malpighia emarginata,Fruit
Malus domestica,Fruit
Malus domestica subsp. chinensis,Fruit
Malus spectabilis,Fruit
Malus sylvestris,Fruit
Malva sylvestris,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Mangifera foetida,Fruit
Mangifera indica,Fruit
Mangifera laurina,Fruit
Mangifera odorata,Fruit
Manihot esculenta,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Manilkara zapota,Fruit
Matricaria chamomilla,Food products n.e.c. (Class)
Melissa officinalis,Food products n.e.c. (Class)
Mentha aquatica,Food products n.e.c. (Class)
Mentha aquatica var. citrata,Food products n.e.c. (Class)
Mentha arvensis,Food products n.e.c. (Class)
Mentha australis,Food products n.e.c. (Class)
Mentha canadensis,Food products n.e.c. (Class)
Mentha cunninghamii,Food products n.e.c. (Class)
Mentha diemenica,Food products n.e.c. (Class)
Mentha gattefossei,Food products n.e.c. (Class)
Mentha japonica,Food products n.e.c. (Class)
Mentha longifolia,Food products n.e.c. (Class)
Mentha requienii,Food products n.e.c. (Class)
Mentha satureioides,Food products n.e.c. (Class)
Mentha sp. JSZ-2009a,Food products n.e.c. (Class)
Mentha sp. UASWS1889,Food products n.e.c. (Class)
Mentha spicata,Food products n.e.c. (Class)
Mentha spicata subsp. condensata,Food products n.e.c. (Class)
Mentha suaveolens,Food products n.e.c. (Class)
Mentha x piperita,Food products n.e.c. (Class)
Mentha x rotundifolia,Food products n.e.c. (Class)
Mentha x verticillata,Food products n.e.c. (Class)
Mespilus germanica,Fruit
Mimosa pudica,Food products n.e.c. (Class)
Mimusops elengi,Fruit
Momordica charantia,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Moringa oleifera,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Morus alba,Fruit
Morus alba var. alba,Fruit
Morus nigra,Fruit
Morus rubra,Fruit
Mucuna pruriens,"Frozen, preserved or processed vegetables and vegetable-based products"
Muntingia calabura,Fruit
Murraya caloxylon,Food products n.e.c. (Class)
Murraya koenigii,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Musa acuminata,Fruit
Musa acuminata subsp. burmannica,Fruit
Musa acuminata subsp. halabanensis,Fruit
Musa acuminata subsp. malaccensis,Fruit
Musa acuminata subsp. microcarpa,Fruit
Musa acuminata subsp. siamea,Fruit
Musa acuminata subsp. truncata,Fruit
Musa acuminata var. breviformis,Fruit
Musa acuminata var. flava,Fruit
Musa acuminata var. nakaii,Fruit
Musa acuminata var. zebrina,Fruit
Musa balbisiana,Fruit
Musa balbisiana var. balbisiana,Fruit
Musa troglodytarum,Fruit
Musa velutina,Fruit
Musa x paradisiaca,Fruit
Myrciaria vexator,Fruit
Myristica fragrans,Food products n.e.c. (Class)
Myrtus communis,Food products n.e.c. (Class)
Nauclea orientalis,Fruit
Nelumbo nucifera,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Nelumbo nucifera subsp. nucifera,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Nephelium lappaceum,Fruit
Nymphaea lotus,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Nymphaea lotus var. dentata,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Nymphaea nouchali,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Nymphaea nouchali var. caerulea,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Nymphaea odorata,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Nymphaea odorata subsp. odorata,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Nymphaea odorata subsp. tuberosa,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Ocimum basilicum,Food products n.e.c. (Class)
Olea europaea,Fruit; Oils and fats
Olea europaea subsp. cuspidata,Fruit
Olea europaea subsp. europaea,Fruit
Olea europaea subsp. maroccana,Fruit
Ophiopogon japonicus,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Origanum vulgare,Food products n.e.c. (Class)
Origanum vulgare subsp. hirtum,Food products n.e.c. (Class)
Origanum vulgare subsp. vulgare,Food products n.e.c. (Class)
Oryza rufipogon,"Other cereals, flour and other cereal products"
Oryza sativa,Bread and cereals
Pachyrhizus erosus,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Paederia foetida,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Panax ginseng,Food products n.e.c. (Class)
Pandanus conoideus,Fruit
Pandanus dubius,Fruit
Pandanus dubius var. compressus,Fruit
Pandanus dubius var. dubius,Fruit
Pandanus spiralis,Fruit
Pandanus spiralis var. multimammillatus,Fruit
Pandanus tectorius,Fruit
Pandanus tectorius var. laevis,Fruit
Panicum miliaceum,"Other cereals, flour and other cereal products"
Papaver somniferum,Food products n.e.c. (Class)
Papaver somniferum subsp. setigerum,Food products n.e.c. (Class)
Parkia speciosa,"Frozen, preserved or processed vegetables and vegetable-based products"
Passiflora edulis,Fruit
Passiflora foetida,Fruit
Passiflora ligularis,Fruit
Passiflora quadrangularis,Fruit
Pastinaca sativa,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Persea americana,Fruit
Persea americana var. americana,Fruit
Persea americana var. americana x 'guatemalensis',Fruit
Persea americana var. costaricensis (nom. inval.),Fruit
Persea americana var. drymifolia,Fruit
Persea americana var. guatemalensis (nom. inval.),Fruit
Petroselinum crispum,Food products n.e.c. (Class)
Phaseolus lunatus,"Frozen, preserved or processed vegetables and vegetable-based products"
Phaseolus vulgaris,"Frozen, preserved or processed vegetables and vegetable-based products"
Phoenix dactylifera,Fruit
Phoenix reclinata,Fruit
Phyllanthus acidus,Fruit
Phyllanthus emblica,Fruit
Physalis angulata,Fruit
Physalis peruviana,Fruit
Physalis philadelphica,Fruit
Pimenta dioica,Food products n.e.c. (Class)
Pimpinella anisum,Food products n.e.c. (Class)
Pinus albicaulis,"Frozen, preserved or processed fruit and fruit-based products"
Pinus armandii,"Frozen, preserved or processed fruit and fruit-based products"
Pinus bungeana,"Frozen, preserved or processed fruit and fruit-based products"
Pinus cembra,"Frozen, preserved or processed fruit and fruit-based products"
Pinus gerardiana,"Frozen, preserved or processed fruit and fruit-based products"
Pinus koraiensis,"Frozen, preserved or processed fruit and fruit-based products"
Pinus monophylla,"Frozen, preserved or processed fruit and fruit-based products"
Pinus pinea,"Frozen, preserved or processed fruit and fruit-based products"
Pinus pumila,"Frozen, preserved or processed fruit and fruit-based products"
Pinus sibirica,"Frozen, preserved or processed fruit and fruit-based products"
Piper auritum,Food products n.e.c. (Class)
Piper cubeba,Food products n.e.c. (Class)
Piper guineense,Food products n.e.c. (Class)
Piper longum,Food products n.e.c. (Class)
Piper methysticum,Food products n.e.c. (Class)
Piper nigrum,Food products n.e.c. (Class)
Piper retrofractum,Food products n.e.c. (Class)
Piper sarmentosum,Food products n.e.c. (Class)
Pistacia vera,"Frozen, preserved or processed fruit and fruit-based products"
Pisum sativum,"Frozen, preserved or processed vegetables and vegetable-based products"
Pisum sativum subsp. elatius,"Frozen, preserved or processed vegetables and vegetable-based products"
Plantago afra,"Frozen, preserved or processed fruit and fruit-based products"
Plantago indica,"Frozen, preserved or processed fruit and fruit-based products"
Plantago ovata,"Frozen, preserved or processed fruit and fruit-based products"
Platycodon grandiflorus,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Plinia cauliflora,Fruit
Podocarpus elatus,Fruit
Pometia pinnata,Fruit
Pouteria caimito,Fruit
Prunus armeniaca,Fruit
Prunus avium,Fruit
Prunus domestica,Fruit
Prunus domestica subsp. insititia,Fruit
Prunus dulcis,Fruit
Prunus grayana,Fruit
Prunus mume,Fruit
Prunus persica,Fruit
Prunus persica var. nucipersica,Fruit
Prunus salicina,Fruit
Prunus salicina x Prunus armeniaca,Fruit
Prunus spinosa,Fruit
Psidium cattleyanum,Fruit
Psidium guajava,Fruit
Psophocarpus tetragonolobus,"Frozen, preserved or processed vegetables and vegetable-based products"
Pterocarpus indicus,Food products n.e.c. (Class)
Punica granatum,Fruit
Pyrus communis,Fruit
Pyrus communis subsp. caucasica,Fruit
Pyrus pashia,Fruit
Pyrus pyrifolia,Fruit
Pyrus ussuriensis,Fruit
Pyrus ussuriensis x Pyrus communis,Fruit
Pyrus x bretschneideri,Fruit
Quercus infectoria,"Frozen, preserved or processed fruit and fruit-based products"
Quercus infectoria subsp. infectoria,"Frozen, preserved or processed fruit and fruit-based products"
Quercus infectoria subsp. veneris,"Frozen, preserved or processed fruit and fruit-based products"
Quercus robur,"Frozen, preserved or processed fruit and fruit-based products"
Quercus robur subsp. pedunculiflora,"Frozen, preserved or processed fruit and fruit-based products"
Quercus robur subsp. robur,"Frozen, preserved or processed fruit and fruit-based products"
Raphanus raphanistrum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Raphanus raphanistrum subsp. landra,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Raphanus sativus,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Rhaphiolepis bibas,Fruit
Rheum rhabarbarum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Rhodomyrtus tomentosa,Fruit
Ricinus communis,Food products n.e.c. (Class)
Rosa canina,Food products n.e.c. (Class)
Rosa gallica,Food products n.e.c. (Class)
Rosa hybrid cultivar,Food products n.e.c. (Class)
Rosa rugosa,Food products n.e.c. (Class)
Rosa rugosa f. alboplena,Food products n.e.c. (Class)
Rosa rugosa x Rosa sertata,Food products n.e.c. (Class)
Rosa x centifolia,Food products n.e.c. (Class)
Rosa x damascena,Food products n.e.c. (Class)
Rubus amabilis,Fruit
Rubus caesius,Fruit
Rubus chamaemorus,Fruit
Rubus idaeus,Fruit
Rubus idaeus subsp. strigosus,Fruit
Rubus illecebrosus,Fruit
Rubus occidentalis,Fruit
Rubus phoenicolasius,Fruit
Rubus plicatus,Fruit
Rubus ulmifolius,Fruit
Saccharum officinarum,Food products n.e.c. (Class)
Saccharum spontaneum,Food products n.e.c. (Class)
Salacca zalacca,Fruit
Salvia elegans,Food products n.e.c. (Class)
Salvia hispanica,"Frozen, preserved or processed fruit and fruit-based products"
Salvia officinalis,Food products n.e.c. (Class)
Salvia rosmarinus,Food products n.e.c. (Class)
Sambucus nigra,Fruit
Schinus molle,Food products n.e.c. (Class)
Secale cereale,"Other cereals, flour and other cereal products"
Secale cereale subsp. ancestrale,"Other cereals, flour and other cereal products"
Secale cereale subsp. dighoricum,"Other cereals, flour and other cereal products"
Secale cereale subsp. rigidum,"Other cereals, flour and other cereal products"
Secale cereale subsp. segetale,"Other cereals, flour and other cereal products"
Secale cereale subsp. vavilovii,"Other cereals, flour and other cereal products"
Selenicereus monacanthus,Fruit
Selenicereus undatus,Fruit
Senna alata,Food products n.e.c. (Class)
Senna siamea,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Serenoa repens,Fruit
Sesamum indicum,"Frozen, preserved or processed fruit and fruit-based products; Oils and fats"
Sesbania grandiflora,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Setaria italica,"Other cereals, flour and other cereal products"
Sicyos edulis,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Sinapis alba,Food products n.e.c. (Class)
Solanum aethiopicum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Solanum americanum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Solanum anguivi,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Solanum betaceum,Fruit
Solanum centrale,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Solanum lasiocarpum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Solanum linearifolium,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Solanum lycopersicum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Solanum lycopersicum var. cerasiforme,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Solanum macrocarpon,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Solanum melongena,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Solanum muricatum,Fruit
Solanum nigrum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Solanum torvum,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Solanum tuberosum,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Solanum tuberosum subsp. andigenum,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Sorghum bicolor,"Other cereals, flour and other cereal products"
Sphagneticola calendulacea,Food products n.e.c. (Class)
Spinacia oleracea,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Spinacia tetrandra,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Spondias dulcis,Fruit
Spondias purpurea,Fruit
Synsepalum dulcificum,Fruit
Syringa vulgaris,Food products n.e.c. (Class)
Syzygium aqueum,Fruit
Syzygium aromaticum,Food products n.e.c. (Class)
Syzygium cumini,Fruit
Syzygium jambos,Fruit
Syzygium malaccense,Fruit
Syzygium samarangense,Fruit
Tagetes patula,Food products n.e.c. (Class)
Tamarindus indica,Fruit
Tanacetum parthenium,Food products n.e.c. (Class)
Tanacetum vulgare,Food products n.e.c. (Class)
Taraxacum officinale,Food products n.e.c. (Class)
Telosma cordata,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Theobroma cacao,"Coffee, tea and cocoa (Class); Confectionery, chocolate and ice cream"
Theobroma grandiflorum,Fruit
Thymus vulgaris,Food products n.e.c. (Class)
Tragopogon porrifolius,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Tragopogon porrifolius subsp. australis,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Tragopogon porrifolius subsp. longirostris,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Trichosanthes cucumerina,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Trifolium pratense,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Trifolium repens,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Trigonella foenum-graecum,Food products n.e.c. (Class)
Triphasia trifolia,Fruit
Triticum aestivum,Bread and cereals
Triticum carthlicum var. fuliginosum,"Other cereals, flour and other cereal products"
Triticum dicoccoides,"Other cereals, flour and other cereal products"
Triticum dicoccum,"Other cereals, flour and other cereal products"
Triticum ispahanicum,"Other cereals, flour and other cereal products"
Triticum macha,"Other cereals, flour and other cereal products"
Triticum monococcum,"Other cereals, flour and other cereal products"
Triticum monococcum subsp. aegilopoides,"Other cereals, flour and other cereal products"
Triticum spelta,"Other cereals, flour and other cereal products"
Triticum spelta var. duhamelianum,"Other cereals, flour and other cereal products"
Triticum timopheevii,"Other cereals, flour and other cereal products"
Triticum timopheevii subsp. araraticum,"Other cereals, flour and other cereal products"
Triticum turgidum,Bread and cereals
Triticum turgidum subsp. durum,Bread and cereals
Triticum urartu,"Other cereals, flour and other cereal products"
Triticum urartu var. nigrum,"Other cereals, flour and other cereal products"
Typha orientalis,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Urtica dioica,Food products n.e.c. (Class)
Urtica dioica subsp. dioica,Food products n.e.c. (Class)
Urtica dioica subsp. pubescens,Food products n.e.c. (Class)
Urtica dioica subsp. sondenii,Food products n.e.c. (Class)
Urtica dioica subsp. subinermis,Food products n.e.c. (Class)
Urtica dioica subsp. xingjiangensis,Food products n.e.c. (Class)
Urtica dioica var. angustifolia,Food products n.e.c. (Class)
Urtica dioica var. capensis,Food products n.e.c. (Class)
Urtica dioica var. dioica,Food products n.e.c. (Class)
Urtica dioica var. elegans,Food products n.e.c. (Class)
Urtica dioica var. hispida,Food products n.e.c. (Class)
Urtica dioica var. sarmatica,Food products n.e.c. (Class)
Vaccinium angustifolium,Fruit
Vaccinium corymbosum,Fruit
Vaccinium pallidum,Fruit
Vaccinium uliginosum,Fruit
Vaccinium vitis-idaea,Fruit
Vicia faba,"Frozen, preserved or processed vegetables and vegetable-based products"
Vicia faba var. major,"Frozen, preserved or processed vegetables and vegetable-based products"
Vicia faba var. minor,"Frozen, preserved or processed vegetables and vegetable-based products"
Vigna angularis,"Frozen, preserved or processed vegetables and vegetable-based products"
Vigna angularis var. angularis,"Frozen, preserved or processed vegetables and vegetable-based products"
Vigna angularis var. nipponensis,"Frozen, preserved or processed vegetables and vegetable-based products"
Vigna mungo,"Frozen, preserved or processed vegetables and vegetable-based products"
Vigna mungo var. mungo,"Frozen, preserved or processed vegetables and vegetable-based products"
Vigna radiata,"Frozen, preserved or processed vegetables and vegetable-based products"
Vigna radiata var. radiata,"Frozen, preserved or processed vegetables and vegetable-based products"
Vigna radiata var. sublobata,"Frozen, preserved or processed vegetables and vegetable-based products"
Vigna subterranea,"Frozen, preserved or processed vegetables and vegetable-based products"
Vigna unguiculata,"Frozen, preserved or processed vegetables and vegetable-based products"
Vigna unguiculata subsp. sesquipedalis,"Frozen, preserved or processed vegetables and vegetable-based products"
Vigna unguiculata subsp. unguiculata,"Frozen, preserved or processed vegetables and vegetable-based products"
Vitellaria paradoxa,Oils and fats
Vitis labrusca x Vitis vinifera,Fruit
Vitis rotundifolia,Fruit
Vitis rotundifolia var. munsoniana,Fruit
Vitis vinifera,Fruit
Vitis vinifera subsp. caucasica,Fruit
Vitis vinifera subsp. sylvestris,Fruit
Vitis vinifera x Vitis labrusca,Fruit
Xanthosoma helleborifolium,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Xanthosoma sagittifolium,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Xanthosoma sp. Barabe 107,"Fresh or chilled potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Yucca filamentosa,"Fresh or chilled vegetables, other than potatoes and other tuber vegetables; Frozen, preserved or processed vegetables and vegetable-based products"
Zanthoxylum simulans,Food products n.e.c. (Class)
Zea mays,Bread and cereals
Zingiber montanum,Food products n.e.c. (Class)
Zingiber officinale,Food products n.e.c. (Class)
Zingiber spectabile,Food products n.e.c. (Class)
Zingiber zerumbet,Food products n.e.c. (Class)
Zizania palustris,Rice
Ziziphus jujuba,Fruit
Ziziphus mauritiana,Fruit
